"brand_id","brand_name","brand_generic","brand_manufacturer","brand_use"
"","Mesacol","[5 Aminosalicylic Acid]","Sun Pharmaceutical",""
"","5-Fu","[5-Fluorouracil]","Choongwae Pharma Corporation, Korea",""
"","5-Fu","[5-Fluorouracil]","Choongwae Pharma Corporation, Korea",""
"","Tivizid","[Abacavir ; Lamivudine ; Zidovudine]","Square Pharmaceuticals ",""
"","Acaril","[Acarbose]","White Horse Pharma",""
"","Sugatrol","[Acarbose]","Pacific Pharmaceuticals ",""
"","Sugatrol","[Acarbose]","Pacific Pharmaceuticals ",""
"","Ac PR","[Aceclofenac]","Pacific Pharmaceuticals ",""
"","Acebid","[Aceclofenac]","Beacon Pharmaceuticals ",""
"","Acecloben","[Aceclofenac]","Benham Pharmaceuticals ",""
"","Aceclofen","[Aceclofenac]","Astra Biopharmaceuticals ",""
"","Aceclora","[Aceclofenac]","Marksman Pharmaceutical ",""
"","Acecol","[Aceclofenac]","Ziska Pharmaceuticals ",""
"","Acedol","[Aceclofenac]","Concord Pharmaceuticals ",""
"","Acefenac","[Aceclofenac]","General Pharmaceuticals ",""
"","Acegic","[Aceclofenac]","Belsen Pharmaceuticals ",""
"","Acelock","[Aceclofenac]","Bristol Pharma ",""
"","Acelon","[Aceclofenac]","Central Pharmaceutical ",""
"","Acenac","[Aceclofenac]","Medicon Pharmaceuticals ",""
"","Acepro","[Aceclofenac]","White Horse Pharma",""
"","ACF","[Aceclofenac]","Decent Pharma Laboratories ",""
"","Acflam","[Aceclofenac]","Apollo Pharmaceutical Laboratories ",""
"","Aclo","[Aceclofenac]","Alco Pharma ",""
"","Aclonac","[Aceclofenac]","Pharmasia ",""
"","Aclopain","[Aceclofenac]","RAK Pharmaceuticals ",""
"","Aclovix","[Aceclofenac]","Aexim Pharmaceuticals ",""
"","ACN","[Aceclofenac]","Modern Pharmaceuticals ",""
"","Alona","[Aceclofenac]","Kemiko Pharmaceuticals ",""
"","Analgen","[Aceclofenac]","Cosmo Pharma Laboratories ",""
"","Apeclo","[Aceclofenac]","Apex Pharmaceuticals ",""
"","Apitac","[Aceclofenac]","Acme Laboratories ",""
"","Aros","[Aceclofenac]","Globe Pharmaceuticals ",""
"","Avenac","[Aceclofenac]","Radiant Pharmaceutical ",""
"","Ceclofen","[Aceclofenac]","Renata ",""
"","Ceconac","[Aceclofenac]","Hudson Pharmaceuticals ",""
"","Celofen","[Aceclofenac]","ACI ltd.",""
"","Clof","[Aceclofenac]","Bio Pharma Laboratories ",""
"","Dolonac","[Aceclofenac]","Cosmic Chemical Industries ",""
"","Ecena","[Aceclofenac]","Edruc ",""
"","Ena","[Aceclofenac]","Asiatic Laboratories ",""
"","Fixonac","[Aceclofenac]","Euro Pharma ",""
"","Fleco","[Aceclofenac]","Ad din Pharmaceuticals ",""
"","Flexi","[Aceclofenac]","Square Pharmaceuticals ",""
"","Flexivan","[Aceclofenac]","NIPRO JMI Pharma ",""
"","Freemax","[Aceclofenac]","Nuvista Pharma Ltd",""
"","Hifenac","[Aceclofenac]","Doctor Tims Pharmaceuticals ",""
"","Lofam","[Aceclofenac]","Millat Pharmaceuticals ",""
"","Lofens","[Aceclofenac]","Zenith Pharmaceuticals ",""
"","Mervan","[Aceclofenac]","Aristopharma ",""
"","Motifen","[Aceclofenac]","Pharmadesh Laboratories ",""
"","Movex","[Aceclofenac]","Opsonin Pharma ",""
"","Movon","[Aceclofenac]","Hallmark Pharmaceuticals ",""
"","Noak","[Aceclofenac]","Orion Pharma ",""
"","Nofenac","[Aceclofenac]","Drug International Ltd.",""
"","Nostrin","[Aceclofenac]","Monicopharma ",""
"","Orcenac","[Aceclofenac]","Organic Health Care",""
"","Orifen","[Aceclofenac]","Silva Pharmaceuticals ",""
"","Ostoflex","[Aceclofenac]","Somatec Pharmaceuticals ",""
"","Painex","[Aceclofenac]","Chemist Laboratories ",""
"","Paino","[Aceclofenac]","Eskayef Bangladesh",""
"","Pankil","[Aceclofenac]","Everest Pharmaceuticals ",""
"","Pankil","[Aceclofenac]","Everest Pharmaceuticals ",""
"","Penac-AC","[Aceclofenac]","APC Pharma ",""
"","Preservin","[Aceclofenac]","Ibn Sina Pharmaceutical",""
"","Protilez","[Aceclofenac]","Reliance Pharmaceuticals ",""
"","Qrip","[Aceclofenac]","Sanofi Aventis",""
"","Relise","[Aceclofenac]","Indobangla Pharmaceuticals",""
"","Repidor","[Aceclofenac]","Rephco Pharmaceuticals ",""
"","Reservix","[Aceclofenac]","Incepta Pharmaceuticals ",""
"","Rheuma","[Aceclofenac]","Mystic Pharmaceuticals ",""
"","Ruclon","[Aceclofenac]","Novus Pharmaceuticals ",""
"","Sapclo","[Aceclofenac]","Shamsul Al Amin Pharmaceuticals ",""
"","Senac - A","[Aceclofenac]","Seba Laboratories ",""
"","Servex","[Aceclofenac]","Novo Healthcare and Pharma ",""
"","Syclofen","[Aceclofenac]","Syntho Laboratories ",""
"","Ternilla","[Aceclofenac]","Healthcare Pharmaceuticals ",""
"","Tuffox","[Aceclofenac]","Eskayef Bangladesh",""
"","Vaxtin","[Aceclofenac]","Novartis",""
"","Volfenac","[Aceclofenac]","SN Pharmaceuticals ",""
"","Xe Fast","[Aceclofenac]","Desh Pharmaceuticals ",""
"","Xe Fast","[Aceclofenac]","Desh Pharmaceuticals ",""
"","Xerifen","[Aceclofenac]","Peoples Pharma ",""
"","Xeriflam","[Aceclofenac]","Kumudini Pharma ",""
"","Xerolin","[Aceclofenac]","Novelta Bestway Pharmaceuticals ",""
"","Xpain","[Aceclofenac]","GA Company ",""
"","Xyfen","[Aceclofenac]","Supreme Pharmaceuticals ",""
"","Zerodol","[Aceclofenac]","Navana Pharmaceuticals ",""
"","Zolfin","[Aceclofenac]","Beximco Pharmaceuticals ",""
"","Zolfin","[Aceclofenac]","Beximco Pharmaceuticals ",""
"","Zolonac","[Aceclofenac]","Sharif Pharmaceuticals ",""
"","Tendonil","[Acemetacin]","Orion Pharma ",""
"","Acemox","[Acetazolamide]","Acme Laboratories ",""
"","Acemox","[Acetazolamide]","Acme Laboratories ",""
"","Remox","[Acetazolamide]","Reman Drug Laboratories ",""
"","Mucomist","[Acetylcysteine]","Beximco Pharmaceuticals ",""
"","Mucomist-DT","[Acetylcysteine]","Beximco Pharmaceuticals ",""
"","Viscotin","[Acetylcysteine]","Unimed & Unihealth Manufacturers ",""
"","Viscotin","[Acetylcysteine]","Unimed & Unihealth Manufacturers ",""
"","Viscotin","[Acetylcysteine]","Unimed & Unihealth Manufacturers ",""
"","Soritec","[Acitretin]","ACI ltd.",""
"","Soritec","[Acitretin]","ACI ltd.",""
"","Ultracarbon 				 	","[Activated Charcoal]","Merck, Italy",""
"","Aciclon","[Acyclovir 3%]","Reman Drug Laboratories ",""
"","Acyvir","[Acyclovir 3%]","Aristopharma ",""
"","Clovir","[Acyclovir 3%]","Ibn Sina Pharmaceutical",""
"","Cuvir","[Acyclovir 3%]","General Pharmaceuticals ",""
"","Cylcovex","[Acyclovir 3%]","Opso Saline ",""
"","Sevirax","[Acyclovir 3%]","GA Company ",""
"","Virex","[Acyclovir 3%]","Nipa Pharmaceuticals ",""
"","Virex","[Acyclovir 3%]","Nipa Pharmaceuticals ",""
"","Novirax","[Acyclovir 5%]","Drug International Ltd.",""
"","Simplovir","[Acyclovir 5%]","Incepta Pharmaceuticals ",""
"","Viroxi","[Acyclovir 5%]","Eskayef Bangladesh",""
"","Virux","[Acyclovir 5%]","Square Pharmaceuticals ",""
"","Acerux","[Acyclovir]","Opsonin Pharma ",""
"","Acerux","[Acyclovir]","Opsonin Pharma ",""
"","Acerux","[Acyclovir]","Opsonin Pharma ",""
"","Acerux","[Acyclovir]","Opsonin Pharma ",""
"","Acerux","[Acyclovir]","Opsonin Pharma ",""
"","Clovir","[Acyclovir]","Ibn Sina Pharmaceutical",""
"","Clovir","[Acyclovir]","Ibn Sina Pharmaceutical",""
"","Novirax","[Acyclovir]","Drug International Ltd.",""
"","Novirax","[Acyclovir]","Drug International Ltd.",""
"","Viroxi","[Acyclovir]","Eskayef Bangladesh",""
"","Virux","[Acyclovir]","Square Pharmaceuticals ",""
"","Virux","[Acyclovir]","Square Pharmaceuticals ",""
"","Virux","[Acyclovir]","Square Pharmaceuticals ",""
"","Xovir","[Acyclovir]","Beacon Pharmaceuticals ",""
"","Adaben Duo Gel","[Adapalene ; Benzoyl Peroxide]","Incepta Pharmaceuticals ",""
"","Fona Plus","[Adapalene ; Benzoyl Peroxide]","Square Pharmaceuticals ",""
"","Freshlook","[Adapalene ; Benzoyl Peroxide]","Ziska Pharmaceuticals ",""
"","Freshlook Gel","[Adapalene ; Benzoyl Peroxide]","Ziska Pharmaceuticals ",""
"","Aclene","[Adapalene 0.1%]","Drug International Ltd.",""
"","Adapel","[Adapalene 0.1%]","Healthcare Pharmaceuticals ",""
"","Adgar 0.1%","[Adapalene 0.1%]","ACI ltd.",""
"","Apalene 0.1%","[Adapalene 0.1%]","Incepta Pharmaceuticals ",""
"","Fona","[Adapalene 0.1%]","Square Pharmaceuticals ",""
"","Adgar 0.3%","[Adapalene 0.3%]","ACI ltd.",""
"","Fona","[Adapalene 0.3%]","Square Pharmaceuticals ",""
"","Adfovir","[Adefovir Dipivoxil]","Sun Pharmaceutical",""
"","Adovir","[Adefovir Dipivoxil]","Renata ",""
"","Antiva","[Adefovir Dipivoxil]","Square Pharmaceuticals ",""
"","Infovir","[Adefovir Dipivoxil]","Incepta Pharmaceuticals ",""
"","Catavit","[Adenosine ; Cytochrome C ; Nicotinamide ; Sodium Succinate :(EP)]","Apex Pharmaceuticals ",""
"","Catnil","[Adenosine ; Cytochrome C ; Nicotinamide ; Sodium Succinate :(EP)]","Acme Laboratories ",""
"","Catrix","[Adenosine ; Cytochrome C ; Nicotinamide ; Sodium Succinate :(EP)]","Incepta Pharmaceuticals ",""
"","Phacovit","[Adenosine ; Cytochrome C ; Nicotinamide ; Sodium Succinate :(EP)]","Aristopharma ",""
"","Ractovit","[Adenosine ; Cytochrome C ; Nicotinamide ; Sodium Succinate :(EP)]","Ibn Sina Pharmaceutical",""
"","Vitafol","[Adenosine ; Cytochrome C ; Nicotinamide ; Sodium Succinate :(EP)]","Popular Pharmaceuticals ",""
"","Vitalens","[Adenosine ; Cytochrome C ; Nicotinamide ; Sodium Succinate :(EP)]","General Pharmaceuticals ",""
"","Adecard","[Adenosine]","Popular Pharmaceuticals ",""
"","Osiden","[Adenosine]","Square Pharmaceuticals ",""
"","G Lignocaine 2%","[Adrenaline ; Lidocaine Hydrochloride]","Gonoshasthaya Pharmaceuticals ",""
"","Jasocaine A","[Adrenaline ; Lidocaine Hydrochloride]","Jayson Pharmaceuticals ",""
"","Jasocaine A 1%","[Adrenaline ; Lidocaine Hydrochloride]","Jayson Pharmaceuticals ",""
"","Jasocaine-A 2%","[Adrenaline ; Lidocaine Hydrochloride]","Jayson Pharmaceuticals ",""
"","Jasocaine-A DC","[Adrenaline ; Lidocaine Hydrochloride]","Jayson Pharmaceuticals ",""
"","Adrenaline","[Adrenaline]","Techno Drugs ",""
"","Adrin","[Adrenaline]","GA Company ",""
"","Adrinor","[Adrenaline]","Incepta Pharmaceuticals ",""
"","Anaroxyl","[Adrenochrome Monosemicarbazone]","Nuvista Pharma Ltd",""
"","Anaroxyl","[Adrenochrome Monosemicarbazone]","Nuvista Pharma Ltd",""
"","Abentel","[Albendazole]","Aristopharma ",""
"","Adze","[Albendazole]","Kemiko Pharmaceuticals ",""
"","AL","[Albendazole]","Everest Pharmaceuticals ",""
"","Al","[Albendazole]","Everest Pharmaceuticals ",""
"","Al DS","[Albendazole]","Globe Pharmaceuticals ",""
"","Alarm","[Albendazole]","Decent Pharma Laboratories ",""
"","Alba","[Albendazole]","Navana Pharmaceuticals ",""
"","Albamax DS","[Albendazole]","Ziska Pharmaceuticals ",""
"","Albazol DS","[Albendazole]","Central Pharmaceutical ",""
"","Alben","[Albendazole]","Eskayef Bangladesh",""
"","Alben DS","[Albendazole]","Eskayef Bangladesh",""
"","Albenda DS","[Albendazole]","Aexim Pharmaceuticals ",""
"","Albendazole","[Albendazole]","EDCL",""
"","Albendox","[Albendazole]","Indobangla Pharmaceuticals",""
"","Albezen","[Albendazole]","Zenith Pharmaceuticals ",""
"","Albicon DS","[Albendazole]","White Horse Pharma",""
"","Albrex","[Albendazole]","Medimet Pharmaceuticals ",""
"","Alda","[Albendazole]","Supreme Pharmaceuticals ",""
"","Alda DS","[Albendazole]","Supreme Pharmaceuticals ",""
"","Aldaben","[Albendazole]","Ad din Pharmaceuticals ",""
"","Aldaben DS","[Albendazole]","Ad din Pharmaceuticals ",""
"","Aldes","[Albendazole]","Desh Pharmaceuticals ",""
"","Aldes-DS","[Albendazole]","Desh Pharmaceuticals ",""
"","Aldes-DS","[Albendazole]","Desh Pharmaceuticals ",""
"","Aldew","[Albendazole]","Doctor's Chemicals Works ",""
"","Aldex","[Albendazole]","GA Company ",""
"","Aldex DS","[Albendazole]","GA Company ",""
"","Aldin DS","[Albendazole]","Techno Drugs ",""
"","Alentin","[Albendazole]","Renata ",""
"","Alentin DS","[Albendazole]","Renata ",""
"","Almex","[Albendazole]","Square Pharmaceuticals ",""
"","Almex","[Albendazole]","Square Pharmaceuticals ",""
"","Almex","[Albendazole]","Square Pharmaceuticals ",""
