brand_id,brand_name,brand_manufacturer,brand_generic
,Mesacol,Sun Pharmaceutical,[5 Aminosalicylic Acid]
,5-Fu,"Choongwae Pharma Corporation, Korea",[5-Fluorouracil]
,Tivizid,Square Pharmaceuticals ,[Abacavir ; Lamivudine ; Zidovudine]
,Acaril,White Horse Pharma,[Acarbose]
,Sugatrol,Pacific Pharmaceuticals ,[Acarbose]
,Ac PR,Pacific Pharmaceuticals ,[Aceclofenac]
,Acebid,Beacon Pharmaceuticals ,[Aceclofenac]
,Acecloben,Benham Pharmaceuticals ,[Aceclofenac]
,Aceclofen,Astra Biopharmaceuticals ,[Aceclofenac]
,Aceclora,Marksman Pharmaceutical ,[Aceclofenac]
,Acecol,Ziska Pharmaceuticals ,[Aceclofenac]
,Acedol,Concord Pharmaceuticals ,[Aceclofenac]
,Acefenac,General Pharmaceuticals ,[Aceclofenac]
,Acegic,Belsen Pharmaceuticals ,[Aceclofenac]
,Acelock,Bristol Pharma ,[Aceclofenac]
,Acelon,Central Pharmaceutical ,[Aceclofenac]
,Acenac,Medicon Pharmaceuticals ,[Aceclofenac]
,Acepro,White Horse Pharma,[Aceclofenac]
,ACF,Decent Pharma Laboratories ,[Aceclofenac]
,Acflam,Apollo Pharmaceutical Laboratories ,[Aceclofenac]
,Aclo,Alco Pharma ,[Aceclofenac]
,Aclonac,Pharmasia ,[Aceclofenac]
,Aclopain,RAK Pharmaceuticals ,[Aceclofenac]
,Aclovix,Aexim Pharmaceuticals ,[Aceclofenac]
,ACN,Modern Pharmaceuticals ,[Aceclofenac]
,Alona,Kemiko Pharmaceuticals ,[Aceclofenac]
,Analgen,Cosmo Pharma Laboratories ,[Aceclofenac]
,Apeclo,Apex Pharmaceuticals ,[Aceclofenac]
,Apitac,Acme Laboratories ,[Aceclofenac]
,Aros,Globe Pharmaceuticals ,[Aceclofenac]
,Avenac,Radiant Pharmaceutical ,[Aceclofenac]
,Ceclofen,Renata ,[Aceclofenac]
,Ceconac,Hudson Pharmaceuticals ,[Aceclofenac]
,Celofen,ACI ltd.,[Aceclofenac]
,Clof,Bio Pharma Laboratories ,[Aceclofenac]
,Dolonac,Cosmic Chemical Industries ,[Aceclofenac]
,Ecena,Edruc ,[Aceclofenac]
,Ena,Asiatic Laboratories ,[Aceclofenac]
,Fixonac,Euro Pharma ,[Aceclofenac]
,Fleco,Ad din Pharmaceuticals ,[Aceclofenac]
,Flexi,Square Pharmaceuticals ,[Aceclofenac]
,Flexivan,NIPRO JMI Pharma ,[Aceclofenac]
,Freemax,Nuvista Pharma Ltd,[Aceclofenac]
,Hifenac,Doctor Tims Pharmaceuticals ,[Aceclofenac]
,Lofam,Millat Pharmaceuticals ,[Aceclofenac]
,Lofens,Zenith Pharmaceuticals ,[Aceclofenac]
,Mervan,Aristopharma ,[Aceclofenac]
,Motifen,Pharmadesh Laboratories ,[Aceclofenac]
,Movex,Opsonin Pharma ,[Aceclofenac]
,Movon,Hallmark Pharmaceuticals ,[Aceclofenac]
,Noak,Orion Pharma ,[Aceclofenac]
,Nofenac,Drug International Ltd.,[Aceclofenac]
,Nostrin,Monicopharma ,[Aceclofenac]
,Orcenac,Organic Health Care,[Aceclofenac]
,Orifen,Silva Pharmaceuticals ,[Aceclofenac]
,Ostoflex,Somatec Pharmaceuticals ,[Aceclofenac]
,Painex,Chemist Laboratories ,[Aceclofenac]
,Paino,Eskayef Bangladesh,[Aceclofenac]
,Pankil,Everest Pharmaceuticals ,[Aceclofenac]
,Penac-AC,APC Pharma ,[Aceclofenac]
,Preservin,Ibn Sina Pharmaceutical,[Aceclofenac]
,Protilez,Reliance Pharmaceuticals ,[Aceclofenac]
,Qrip,Sanofi Aventis,[Aceclofenac]
,Relise,Indobangla Pharmaceuticals,[Aceclofenac]
,Repidor,Rephco Pharmaceuticals ,[Aceclofenac]
,Reservix,Incepta Pharmaceuticals ,[Aceclofenac]
,Rheuma,Mystic Pharmaceuticals ,[Aceclofenac]
,Ruclon,Novus Pharmaceuticals ,[Aceclofenac]
,Sapclo,Shamsul Al Amin Pharmaceuticals ,[Aceclofenac]
,Senac - A,Seba Laboratories ,[Aceclofenac]
,Servex,Novo Healthcare and Pharma ,[Aceclofenac]
,Syclofen,Syntho Laboratories ,[Aceclofenac]
,Ternilla,Healthcare Pharmaceuticals ,[Aceclofenac]
,Tuffox,Eskayef Bangladesh,[Aceclofenac]
,Vaxtin,Novartis,[Aceclofenac]
,Volfenac,SN Pharmaceuticals ,[Aceclofenac]
,Xe Fast,Desh Pharmaceuticals ,[Aceclofenac]
,Xerifen,Peoples Pharma ,[Aceclofenac]
,Xeriflam,Kumudini Pharma ,[Aceclofenac]
,Xerolin,Novelta Bestway Pharmaceuticals ,[Aceclofenac]
